Raumnummer: ;B11;
Zeitstempel [s]; Maximal erlaubte anzahl Personen; anzahl Personen im Raum; Anzahlaenderung; Personenzahl Gesamt; Personenzahl Gesamt raus; Personenzahl Gesamt rein; Status;
0.920;2;0;0;0;0;0;Durchgang wird blockiert;
0.920;2;0;0;0;0;0;Durchgang wieder frei;
1.240;2;1;+;1;0;1;nicht voll;
1.300;2;1;0;1;0;1;Durchgang wird blockiert;
1.300;2;1;0;1;0;1;Durchgang wieder frei;
2.480;2;2;+;2;0;2;nicht voll;
2.540;2;2;0;2;0;2;Durchgang wird blockiert;
2.560;2;2;0;2;0;2;Durchgang wird blockiert;
2.580;2;2;0;2;0;2;Durchgang wird blockiert;
2.600;2;2;0;2;0;2;Durchgang wird blockiert;
2.600;2;2;0;2;0;2;Durchgang wieder frei;
2.840;2;3;+;3;0;3;voll;
2.900;2;3;0;3;0;3;Durchgang wird blockiert;
2.920;2;3;0;3;0;3;Durchgang wird blockiert;
2.940;2;3;0;3;0;3;Durchgang wird blockiert;
2.960;2;3;0;3;0;3;Durchgang wird blockiert;
2.960;2;3;0;3;0;3;Durchgang wieder frei;
3.200;2;4;+;4;0;4;voll;
4.660;2;5;+;5;0;5;voll;
6.580;2;4;-;6;1;5;voll;
6.640;2;4;0;6;1;5;Durchgang wird blockiert;
6.640;2;4;0;6;1;5;Durchgang wieder frei;
7.140;2;3;-;7;2;5;voll;
7.720;2;2;-;8;3;5;voll;
8.160;2;1;-;9;4;5;voll;
8.660;2;0;-;10;5;5;nicht voll;
8.720;2;0;0;10;5;5;Durchgang wird blockiert;
8.740;2;0;0;10;5;5;Durchgang wird blockiert;
8.740;2;0;0;10;5;5;Durchgang wieder frei;
